monetary frequency purchase_price
352 10 1 10
353 10 1 10
354 10 1 10
355 10 1 10
356 10 1 10
357 10 1 10
358 10 1 10
359 10 1 10
360 10 1 10
361 10 1 10
362 10 1 10
363 10 1 10
364 10 1 10
365 10 1 10
366 10 1 10
367 30 1 30
368 10 1 10
369 10 1 10
370 30 1 30
371 23400 1 23400
372 10 1 10
373 10 1 10
374 10 1 10
375 10 1 10
376 10 1 10
377 10 1 10
378 10 1 10
379 30 1 30
380 10 1 10
381 30 1 30
382 10 1 10
383 10 1 10
384 10 1 10
385 10 1 10
386 10 1 10
387 10 1 10
388 10 1 10
389 10 1 10
390 10 1 10
391 10 1 10
392 10 1 10
393 10 1 10
394 10 1 10
395 10 1 10
396 10 1 10
397 10 1 10
398 10 1 10
399 10 1 10
400 10 1 10
401 10 1 10
402 10 1 10
403 10 1 10
404 10 1 10
405 10 1 10
406 10 1 10
407 10 1 10
408 10500 1 10500
409 10 1 10
410 10 1 10
411 30 1 30
412 5800 1 5800
413 41100 1 41100
414 10 1 10
415 10 1 10
416 10 1 10
417 10 1 10
418 10 1 10
419 10 1 10
420 10 1 10
421 10 1 10
422 52360 37 1415.13513513514
423 7730 43 179.767441860465
424 2390 14 170.714285714286
425 2820 18 156.666666666667
426 3970 26 152.692307692308
427 2350 14 167.857142857143
428 4540 26 174.615384615385
429 3550 25 142
430 3090 17 181.764705882353
431 10 1 10
432 10 1 10
433 10 1 10
434 21000 1 21000
435 10 1 10
436 10 1 10
437 10 1 10
438 10 1 10
439 10 1 10
440 10 1 10
441 10 1 10
442 10 1 10
443 10 1 10
444 10 1 10
445 10 1 10
446 10 1 10
447 10 1 10
448 10 1 10
449 10 1 10
450 10 1 10
451 10 1 10
452 24200 1 24200
453 30 1 30
454 10 1 10
455 23900 1 23900
456 10 1 10
457 4500 1 4500
458 10 1 10
459 10 1 10
460 10 1 10
461 10 1 10
462 10 1 10
463 10 1 10
464 10 1 10
465 10 1 10
466 10 1 10
467 10 1 10
468 10 1 10
469 10 1 10
470 30 1 30
471 10 1 10
472 10 1 10
473 10 1 10
474 10 1 10
475 30 1 30
476 10 1 10
477 10 1 10
478 10 1 10
479 10 1 10
480 10 1 10
481 10 1 10
482 10 1 10
483 10 1 10
484 10 1 10
485 90 6 15
486 11290 11 1026.36363636364
487 200 14 14.2857142857143
488 2760 20 138
489 200 14 14.2857142857143
490 290 19 15.2631578947368
491 10810 21 514.761904761905
492 9810 15 654
